Fecha,Región,Precio Pago Industrial,Valor Compensación,Precio Mínimo Garantía
14/09/2022,Costa Llanos,9994568,0,5200000
21/09/2022,Costa Llanos,9445019,0,5200000
28/09/2022,Costa Llanos,8888894,0,5200000
05/10/2022,Costa Llanos,8228998,0,5200000
12/10/2022,Costa Llanos,8634114,0,5200000
19/10/2022,Costa Llanos,8188125,0,5200000
26/10/2022,Costa Llanos,8489127,0,5200000
02/11/2022,Costa Llanos,8665639,0,5200000
09/11/2022,Costa Llanos,9560067,0,5200000
16/11/2022,Costa Llanos,9360858,0,5200000
23/11/2022,Costa Llanos,9094189,0,5200000
30/11/2022,Costa Llanos,9123921,0,5200000
07/12/2022,Costa Llanos,8775221,0,5200000
14/12/2022,Costa Llanos,8775222,0,5200000
21/12/2022,Costa Llanos,9284195,0,8100000
28/12/2022,Costa Llanos,8749736,0,8100000
04/01/2023,Costa Llanos,8587168,0,8100000
11/01/2023,Costa Llanos,8931043,0,8100000
18/01/2023,Costa Llanos,8771031,0,8100000
25/01/2023,Costa Llanos,8685047,0,8100000
01/02/2023,Costa Llanos,8773761,0,8100000
08/02/2023,Costa Llanos,8988733,0,8100000
15/02/2023,Costa Llanos,8705006,0,8100000
22/02/2023,Costa Llanos,8976352,0,8100000
01/03/2023,Costa Llanos,9091256,0,8100000
08/03/2023,Costa Llanos,8642644,0,8100000
15/03/2023,Costa Llanos,8259916,0,8100000
22/03/2023,Costa Llanos,8291056,0,8100000
29/03/2023,Costa Llanos,8499723,0,8100000
05/04/2023,Costa Llanos,8198758,0,8100000
12/04/2023,Costa Llanos,8210082,0,8100000
19/04/2023,Costa Llanos,8208571,0,8100000
26/04/2023,Costa Llanos,7750712,0,8100000
03/05/2023,Costa Llanos,8185260,0,8100000
10/05/2023,Costa Llanos,8083780,3244,8100000
17/05/2023,Costa Llanos,8685585,0,8100000
24/05/2023,Costa Llanos,8110457,0,8100000
31/05/2023,Costa Llanos,8113680,0,8100000
07/06/2023,Costa Llanos,7955684,28863,8100000
14/06/2023,Costa Llanos,7548495,110301,8100000
21/06/2023,Costa Llanos,7254710,169058,8100000
28/06/2023,Costa Llanos,7081966,203607,8100000
05/07/2023,Costa Llanos,7389097,142181,8100000
12/07/2023,Costa Llanos,7548696,0,8100000
19/07/2023,Costa Llanos,7369070,0,8100000
26/07/2023,Costa Llanos,7712981,0,8100000
02/08/2023,Costa Llanos,7473359,0,8100000
09/08/2023,Costa Llanos,7670374,0,8100000
16/08/2023,Costa Llanos,7650401,0,8100000
23/08/2023,Costa Llanos,7795122,0,8100000
30/08/2023,Costa Llanos,7962879,0,8100000
06/09/2023,Costa Llanos,7843592,0,8100000
13/09/2023,Costa Llanos,7649914,0,8100000
20/09/2023,Costa Llanos,7473035,0,8100000
27/09/2023,Costa Llanos,7920441,0,8100000
04/10/2023,Costa Llanos,8031617,0,8100000
11/10/2023,Costa Llanos,7934996,0,8100000
18/10/2023,Costa Llanos,7841076,0,8100000
22/10/2023,Costa Llanos,7123211,0,8100000
25/10/2023,Costa Llanos,7786048,0,8100000
01/11/2023,Costa Llanos,7205497,0,8100000
08/11/2023,Costa Llanos,6612454,0,8100000
15/11/2023,Costa Llanos,6851534,0,8100000
22/11/2023,Costa Llanos,7123211,0,8100000
29/11/2023,Costa Llanos,6944466,0,8100000
06/12/2023,Costa Llanos,7073481,0,8100000
13/12/2023,Costa Llanos,7142455,0,8100000
20/12/2023,Costa Llanos,6848506,0,8100000
27/12/2023,Costa Llanos,6873234,0,8100000
03/01/2024,Costa Llanos,6950338,0,8100000
10/01/2024,Costa Llanos,6954158,0,8100000
17/01/2024,Costa Llanos,7098094,0,8100000
24/01/2024,Costa Llanos,7407821,0,8100000
31/01/2024,Costa Llanos,7370746,0,8100000
07/02/2024,Costa Llanos,7705230,0,8100000
14/02/2024,Costa Llanos,8097119,0,8100000
21/02/2024,Costa Llanos,7988170,0,8100000
28/02/2024,Costa Llanos,8770107,0,8100000
06/03/2024,Costa Llanos,8287314,0,8100000
13/03/2024,Costa Llanos,8287314,0,8100000
20/03/2024,Costa Llanos,7914140,0,8100000
27/03/2024,Costa Llanos,7736252,0,8100000
03/04/2024,Costa Llanos,7542988,0,8100000
10/04/2024,Costa Llanos,7078049,0,8100000
17/04/2024,Costa Llanos,6907365,0,8100000
24/04/2024,Costa Llanos,6853768,0,8100000
01/05/2024,Costa Llanos,6576715,0,8100000
08/05/2024,Costa Llanos,6856753,0,8100000
15/05/2024,Costa Llanos,6420233,0,8100000
22/05/2024,Costa Llanos,6676189,0,8100000
29/05/2024,Costa Llanos,6889058,0,8100000
05/06/2024,Costa Llanos,6416143,0,8100000
12/06/2024,Costa Llanos,6264370,0,8100000
19/06/2024,Costa Llanos,6406953,0,8100000
23/06/2024,Costa Llanos,6799347,0,8100000
03/07/2024,Costa Llanos,6588424,0,8100000
10/07/2024,Costa Llanos,6448977,0,8100000
17/07/2024,Costa Llanos,6319878,0,8100000
24/07/2024,Costa Llanos,6069768,0,8100000
31/07/2024,Costa Llanos,6219255,0,8100000
07/08/2024,Costa Llanos,6176177,0,8100000
14/08/2024,Costa Llanos,5970194,0,8100000
21/08/2024,Costa Llanos,6221379,0,8100000
28/08/2024,Costa Llanos,6113987,0,8100000
04/09/2024,Costa Llanos,6442077,0,8100000
11/09/2024,Costa Llanos,6576792,0,8100000
18/09/2024,Costa Llanos,6660913,0,8100000
25/09/2024,Costa Llanos,6680076,0,8100000
02/10/2024,Costa Llanos,6835517,0,8100000
09/10/2024,Costa Llanos,6743282,0,8100000
16/10/2024,Costa Llanos,6668635,0,8100000
23/10/2024,Costa Llanos,6813523,0,8100000
30/10/2024,Costa Llanos,6732141,0,8100000
06/11/2024,Costa Llanos,6793683,0,8100000
13/11/2024,Costa Llanos,6704412,0,8100000
20/11/2024,Costa Llanos,6642807,0,8100000
27/11/2024,Costa Llanos,6931434,0,8100000
04/12/2024,Costa Llanos,6979797,0,8100000
11/12/2024,Costa Llanos,6769674,0,8100000
18/12/2024,Costa Llanos,6521855,0,8100000
26/12/2024,Costa Llanos,6640026,0,8100000
02/01/2025,Costa Llanos,6665287,0,8100000
08/01/2025,Costa Llanos,6531697,0,8100000
15/01/2025,Costa Llanos,6424805,0,8100000
22/01/2025,Costa Llanos,6375189,0,8100000
29/01/2025,Costa Llanos,6200185,0,8000000
05/02/2025,Costa Llanos,6047213,0,8000000
12/02/2025,Costa Llanos,6178543,482510,8000000
19/02/2025,Costa Llanos,6003959,482510,8000000
25/02/2025,Costa Llanos,6083411,482510,8000000
05/03/2025,Costa Llanos,5817056,482510,8000000
